q seq id	s seq id	percent id	length	mismatch	gap open	q start	q end	s start	s end	e-value	bit score 																																												
A3LNY8_PICST	NODE_121_88035_cov_15.589787	59.809	209	84	0	31	239	85762	85136	3.82E-111	281																																												
A3LPD0_PICST	NODE_418_26997_cov_12.914998	40.807	223	126	2	72	293	9625	8972	3.65E-59	172																																												
A3LPY3_PICST	NODE_869_850_cov_2.705394	31.183	186	106	8	234	417	2	499	1.25E-19	88.2																																												
A3LQ43_PICST	NODE_2_339980_cov_14.749374	67.7	387	122	1	1	384	128836	127676	2.10E-180	556																																												
A3LQ81_PICST	NODE_8_216030_cov_14.945137	37.984	387	221	7	1	372	142024	143172	1.59E-62	216																																												
A3LQC4_PICST	NODE_156_75747_cov_12.675231	55.556	405	178	2	2	404	67749	68963	2.28E-149	469																																												
A3LQE7_PICST	NODE_61_121985_cov_14.507197	29.833	600	349	13	1	587	43991	42369	3.48E-65	234																																												
A3LQN3_PICST	NODE_104_94988_cov_14.777327	50	260	108	3	1	243	9333	10097	3.20E-76	250																																												
A3LQN6_PICST	NODE_46_136539_cov_14.398198	43.935	371	185	8	2	369	104800	105852	5.71E-100	325																																												
A3LR19_PICST	NODE_184_64386_cov_15.001447	47.66	470	175	12	2	417	55931	54573	3.42E-123	393																																												
A3LRF3_PICST	NODE_524_14745_cov_16.881105	84.211	76	12	0	2	77	13053	12826	3.30E-47	140																																												
A3LRR2_PICST	NODE_316_39867_cov_13.804882	57.471	87	37	0	4	90	14117	13857	1.11E-27	104																																												
A3LRS6_PICST	NODE_2_339980_cov_14.749374	61.425	407	139	5	2	394	309438	308230	5.71E-162	504																																												
A3LS85_PICST	NODE_376_31692_cov_14.812482	54.598	696	232	7	1	613	17871	15787	0	746																																												
A3LSA7_PICST	NODE_46_136539_cov_14.398198	41.328	738	375	15	174	869	99188	97023	1.18E-166	540																																												
A3LSU0_PICST	NODE_41_143367_cov_14.501620	37.288	177	109	2	1	177	127138	126614	4.69E-30	115																																												
A3LTI2_PICST	NODE_646_6234_cov_12.168168	64.599	274	74	4	6	257	87	905	2.66E-114	360																																												
A3LTP2_PICST	NODE_217_56212_cov_13.670982	72.247	227	47	1	171	381	24516	23836	1.08E-159	325																																												
A3LTU4_PICST	NODE_21_179562_cov_13.856455	49.519	208	79	2	1	186	1070	1681	3.73E-60	204																																												
A3LUB4_PICST	NODE_453_23233_cov_13.944820	64.194	310	110	1	2	310	9334	8405	8.34E-129	406																																												
A3LUH0_PICST	NODE_199_59878_cov_14.302054	62.309	589	189	7	2	562	5303	7054	0	691																																												
A3LUV9_PICST	NODE_90_102663_cov_14.310154	43.631	314	152	8	2	304	56385	57284	4.17E-71	238																																												
A3LUW1_PICST	NODE_30_159743_cov_14.519641	40	130	54	3	200	310	24558	24932	8.25E-23	102																																												
A3LV89_PICST	NODE_13_196270_cov_15.134784	65.909	44	15	0	1	44	914	1045	5.61E-30	74.3																																												
A3LVL9_PICST	NODE_66_119985_cov_14.533123	64.151	265	89	3	1	259	15680	14886	2.68E-109	346																																												
A3LVW8_PICST	NODE_377_31591_cov_12.686340	45.958	433	181	6	11	429	23344	24525	1.45E-105	343																																												
A3LXA6_PICST	NODE_15_191686_cov_14.836928	53.153	111	51	1	5	115	149446	149775	1.79E-34	125																																												
A3LXA7_PICST	NODE_15_191686_cov_14.836928	45.946	111	58	2	5	114	149446	149775	2.19E-23	93.6																																												
A3LXC4_PICST	NODE_169_68952_cov_15.493600	41.322	363	151	6	246	582	13276	12296	2.96E-64	231																																												
A3LXZ6_PICST	NODE_49_130692_cov_14.362800	62.411	141	36	1	109	232	112381	112803	2.78E-93	182																																												
A3LYF6_PICST	NODE_359_33047_cov_14.312728	56.842	285	107	4	1	270	14384	13533	3.79E-101	324																																												
A3LZD3_PICST	NODE_217_56212_cov_13.670982	31.494	435	225	15	1	380	16618	17868	5.35E-54	192																																												
A3LZE4_PICST	NODE_326_38862_cov_17.047373	46.569	408	190	8	1	401	2508	3668	1.32E-116	375																																												
A3QX02_ASPFM	NODE_36_150010_cov_14.971805	39.167	120	66	5	374	486	126070	125711	5.04E-15	78.6																																												
A4QPV0_MAGO7	NODE_319_39646_cov_14.464966	56.391	266	94	2	1	246	9006	9797	1.08E-94	303																																												
A4QRN5_MAGO7	NODE_368_32152_cov_14.478002	48.622	508	244	4	139	639	26011	27504	2.01E-144	476																																												
A4QRX6_MAGO7	NODE_466_21898_cov_14.763401	53.14	207	77	7	90	289	689	108	7.32E-26	114																																												
A4QSA8_MAGO7	NODE_12_197614_cov_14.624102	48.387	155	63	2	16	153	71714	72178	7.74E-39	139																																												
A4QT57_MAGO7	NODE_105_93973_cov_15.589658	33.613	119	52	4	88	185	23484	23822	7.07E-14	51.2																																												
A4QTS1_MAGO7	NODE_48_131031_cov_15.589982	54.313	313	123	3	378	672	111696	112628	2.22E-105	356																																												
A4QV79_MAGO7	NODE_376_31692_cov_14.812482	45.291	446	176	14	959	1385	31668	30478	1.77E-79	291																																												
A4QVA7_MAGO7	NODE_79_111890_cov_14.033124	42.967	1038	512	25	159	1170	24657	21706	0	715																																												
A4QVB5_MAGO7	NODE_356_33772_cov_15.104681	47.632	380	156	9	154	509	29732	28650	7.32E-93	311																																												
A4QVD7_MAGO7	NODE_259_48179_cov_14.890618	42.424	264	148	1	216	479	43385	44164	3.21E-65	228																																												
A4QVF8_MAGO7	NODE_38_146689_cov_14.597099	46.296	108	36	1	78	163	36673	36996	8.37E-26	79.3																																												
A4R0W3_MAGO7	NODE_2_339980_cov_14.749374	31.982	666	333	26	416	1017	243818	245647	1.40E-62	235																																												
A4R0Y1_MAGO7	NODE_123_86644_cov_15.042627	36.176	387	219	8	145	513	40997	42127	7.44E-71	246																																												
A4R178_MAGO7	NODE_104_94988_cov_14.777327	36.224	519	322	5	29	539	33361	34914	1.22E-90	305																																												
A4R1F0_MAGO7	NODE_8_216030_cov_14.945137	67.15	414	115	2	60	452	200479	199238	2.69E-177	547																																												
A4R2P0_MAGO7	NODE_11_206496_cov_15.134061	42.874	856	290	27	1	773	183151	180932	3.46E-152	500																																												
A4R2T0_MAGO7	NODE_312_40577_cov_15.103239	33.529	340	178	5	410	708	36962	35964	6.36E-44	171																																												
A4R2V5_MAGO7	NODE_254_50084_cov_14.777609	62.778	180	39	2	1	154	41322	40789	6.81E-66	216																																												
A4R3H7_MAGO7	NODE_71_117508_cov_14.424771	30.658	486	280	11	516	974	64624	65991	2.44E-38	156																																												
A4R553_MAGO7	NODE_232_54031_cov_14.451766	53.082	292	119	4	935	1220	43770	42931	1.36E-85	308																																												
A4R566_MAGO7	NODE_291_43287_cov_13.763508	57.515	499	190	3	1	486	19082	20551	0	576																																												
A4R575_MAGO7	NODE_203_59523_cov_14.257223	38.095	168	85	2	33	181	34935	34432	1.40E-26	105																																												
A4R599_MAGO7	NODE_271_47322_cov_13.608136	27.764	407	241	13	144	537	27967	29067	5.35E-26	117																																												
A4R7D1_MAGO7	NODE_222_55511_cov_14.470190	36.194	268	125	9	456	706	32939	33655	5.94E-35	143																																												
A4R9C7_MAGO7	NODE_105_93973_cov_15.589658	27.448	776	441	27	2	732	64957	67053	9.92E-44	175																																												
A4RB72_MAGO7	NODE_194_61592_cov_14.223363	61.188	1077	370	11	518	1582	686	3808	0	1256																																												
A4RCH6_MAGO7	NODE_23_172739_cov_17.565424	28.101	911	545	21	448	1311	164026	166569	7.70E-68	255																																												
A4RDS9_MAGO7	NODE_371_31933_cov_13.923442	39.643	1511	619	50	122	1451	19517	15321	0	790																																												
A4RED5_MAGO7	NODE_55_127238_cov_14.683458	77.358	106	5	1	36	122	49228	49545	1.41E-77	172																																												
A4RF81_MAGO7	NODE_101_95736_cov_14.686191	29.843	191	115	5	64	249	71237	71767	2.51E-11	66.6																																												
A4RFD4_MAGO7	NODE_120_88274_cov_14.413287	82.282	333	58	1	1	333	41039	40044	2.52E-161	499																																												
A4RG81_MAGO7	NODE_338_36792_cov_13.976217	31.174	247	104	7	276	457	31957	32694	9.64E-13	71.2																																												
A4RG88_MAGO7	NODE_86_107485_cov_15.813353	42.308	156	72	4	256	409	107477	107058	1.30E-10	65.9																																												
A4RGC8_MAGO7	NODE_23_172739_cov_17.565424	43.478	483	266	3	103	583	163855	165288	3.35E-107	371																																												
A4RGG9_MAGO7	NODE_7_231350_cov_16.307214	67.296	159	48	3	1	157	164747	164277	8.67E-77	175																																												
A4RGM3_MAGO7	NODE_421_26636_cov_14.416990	32.955	88	57	1	66	151	8015	7752	2.31E-15	51.2																																												
A4RHH9_MAGO7	NODE_81_109956_cov_14.639804	24.281	313	202	10	4	293	108899	109801	1.57E-18	90.5																																												
A4RI68_MAGO7	NODE_72_116274_cov_13.556269	34.677	124	67	3	2	116	9904	9548	3.76E-09	58.9																																												
A4RJR0_MAGO7	NODE_77_112640_cov_15.584235	36.713	286	156	9	138	415	13098	12292	1.51E-50	150																																												
A4RJV7_MAGO7	NODE_166_70850_cov_14.744567	52.59	251	95	2	2	232	24698	25438	1.31E-83	271																																												
A4RKI4_MAGO7	NODE_256_49607_cov_15.835671	47.782	293	108	7	2	262	1631	792	7.08E-85	276																																												
A4RMS2_MAGO7	NODE_4_295429_cov_13.989292	20.594	976	607	32	12	921	2452	5073	1.67E-22	104																																												
A4UC81_MAGO7	NODE_95_99796_cov_14.048089	53.082	292	135	2	22	313	86600	85731	1.01E-84	278																																												
A4ULI4_MYCGR	NODE_24_168725_cov_14.737185	64.599	387	114	6	77	454	73297	72179	6.29E-172	498																																												
A4ULI5_MYCGR	NODE_24_168725_cov_14.737185	63.824	387	115	7	77	452	73297	72179	2.87E-168	486																																												
A4ULI6_MYCGR	NODE_24_168725_cov_14.737185	64.083	387	116	6	77	454	73297	72179	3.36E-170	492																																												
A4ULI7_MYCGR	NODE_24_168725_cov_14.737185	64.341	387	115	6	77	454	73297	72179	1.86E-171	497																																												
A4ULI8_MYCGR	NODE_24_168725_cov_14.737185	64.341	387	115	6	77	454	73297	72179	1.08E-170	495																																												
A4ULI9_MYCGR	NODE_24_168725_cov_14.737185	64.721	377	108	7	77	442	73297	72209	7.22E-167	482																																												
A4ULJ0_MYCGR	NODE_24_168725_cov_14.737185	63.939	391	117	7	77	458	73297	72170	1.07E-170	494																																												
A4ULJ1_MYCGR	NODE_24_168725_cov_14.737185	63.824	387	117	6	77	454	73297	72179	2.92E-170	493																																												
A4ULJ2_MYCGR	NODE_24_168725_cov_14.737185	63.566	387	116	7	77	452	73297	72179	1.70E-168	487																																												
A5H456_MYCGR	NODE_10_209581_cov_14.750637	36.267	1409	817	24	381	1746	49198	53310	0	862																																												
A5HEH7_9PEZI	NODE_156_75747_cov_12.675231	73.608	413	99	5	1	411	67857	69071	0	572																																												
A5HF03_MAGGR	NODE_184_64386_cov_15.001447	50	488	169	7	2	418	29585	28134	8.67E-146	460																																												
A6N6J8_FUSOX	NODE_113_92983_cov_14.529530	69.349	261	60	2	70	311	61123	61902	0	354																																												
A6QT49_AJECN	NODE_217_56212_cov_13.670982	58.475	236	56	3	120	351	17317	17910	1.42E-81	271																																												
A6QT98_AJECN	NODE_869_850_cov_2.705394	66.867	166	49	3	216	377	41	532	6.12E-50	169																																												
A6QTV8_AJECN	NODE_453_23233_cov_13.944820	86.154	65	9	0	1	65	8518	8324	1.44E-18	77.4																																												
A6QU97_AJECN	NODE_121_88035_cov_15.589787	72.115	208	58	0	1	208	85759	85136	3.99E-140	341																																												
A6QUA9_AJECN	NODE_226_55105_cov_14.202536	65.929	226	70	1	114	339	52666	53322	8.73E-83	274																																												
A6QV09_AJECN	NODE_330_38203_cov_13.781069	74.576	236	60	0	1	236	23098	22391	1.73E-122	383																																												
A6QVE8_AJECN	NODE_117_89130_cov_13.866847	88.571	70	8	0	1	70	73465	73674	2.43E-35	125																																												
A6QVF8_AJECN	NODE_618_7841_cov_11.698341	75.581	172	38	1	1	172	2930	2427	8.97E-84	269																																												
A6QVN0_AJECN	NODE_184_64386_cov_15.001447	65.136	479	130	8	1	451	55982	54573	0	585																																												
A6QVZ5_AJECN	NODE_464_22029_cov_14.042781	86.454	251	34	0	3	253	13800	14552	4.23E-139	416																																												
A6QW18_AJECN	NODE_2_339980_cov_14.749374	70.5	400	115	1	1	397	128875	127676	0	598																																												
A6QWB0_AJECN	NODE_646_6234_cov_12.168168	69.112	259	55	4	1	235	123	896	5.75E-112	352																																												
A6QX12_AJECN	NODE_88_103569_cov_14.399876	57.2	500	187	7	136	610	62678	64171	5.07E-175	551																																												
A6QXG1_AJECN	NODE_217_56212_cov_13.670982	85.022	227	18	1	142	352	24516	23836	0	409																																												
A6QXG5_AJECN	NODE_77_112640_cov_15.584235	60.932	279	80	7	45	323	3	752	2.91E-103	332																																												
A6QZ55_AJECN	NODE_38_146689_cov_14.597099	56.557	244	106	0	37	280	120492	121223	4.91E-80	263																																												
A6QZZ4_AJECN	NODE_359_33047_cov_14.312728	80	230	44	1	1	228	14174	13485	3.26E-124	387																																												
A6R0L4_AJECN	NODE_316_39867_cov_13.804882	59.459	185	41	1	1	151	14411	13857	2.68E-69	226																																												
A6R119_AJECN	NODE_157_75655_cov_15.424637	64.45	391	129	4	167	549	19915	21081	9.32E-147	467																																												
A6R120_AJECN	NODE_157_75655_cov_15.424637	71.617	303	85	1	9	311	7039	7944	3.12E-142	443																																												
A6R1W8_AJECN	NODE_234_53533_cov_14.336704	41.532	744	361	18	1	688	36253	38430	3.39E-146	471																																												
A6R2A6_AJECN	NODE_35_150279_cov_14.508738	57.517	878	330	14	11	881	131418	128893	0	971																																												
A6R2R1_AJECN	NODE_326_38862_cov_17.047373	68.342	398	124	2	169	566	2397	3584	0	587																																												
A6R380_AJECN	NODE_199_59878_cov_14.302054	83.418	591	74	3	1	567	5282	7054	0	902																																												
A6R3N2_AJECN	NODE_8_216030_cov_14.945137	66.279	344	116	0	1	344	142141	143172	7.44E-136	427																																												
A6R3U9_AJECN	NODE_20_180164_cov_15.436855	79.688	128	26	0	108	235	124757	124374	5.87E-66	221																																												
A6R615_AJECN	NODE_147_78368_cov_13.624966	77.913	824	176	5	1	821	48478	46016	0	1340																																												
A6R6C9_AJECN	NODE_83_109700_cov_14.776177	77.885	104	23	0	1	104	80158	79847	1.19E-44	153																																												
A6R6N1_AJECN	NODE_371_31933_cov_13.923442	85.581	1713	241	4	34	1744	1011	6137	0	2959																																												
A6R757_AJECN	NODE_61_121985_cov_14.507197	66.939	245	45	2	1	209	45264	45998	2.97E-107	340																																												
A6R764_AJECN	NODE_459_22408_cov_12.085005	62.73	381	123	2	1	363	18831	19970	3.04E-152	475																																												
A6R7R9_AJECN	NODE_104_94988_cov_14.777327	71.942	278	63	3	1	263	9267	10100	6.16E-124	388																																												
A6R8B3_AJECN	NODE_338_36792_cov_13.976217	54.152	578	247	6	20	585	20664	18949	2.53E-173	545																																												
A6R963_AJECN	NODE_376_31692_cov_14.812482	63.554	771	201	5	5	731	18000	15796	0	1001																																												
A6R991_AJECN	NODE_418_26997_cov_12.914998	59.174	218	87	1	42	257	9631	8978	4.30E-78	258																																												
A6R9F0_AJECN	NODE_524_14745_cov_16.881105	94.737	76	4	0	5	80	13053	12826	2.57E-59	156																																												
A6R9V5_AJECN	NODE_41_143367_cov_14.501620	79.058	191	38	2	1	189	127141	126569	6.99E-96	306																																												
A6RAG5_AJECN	NODE_193_61615_cov_17.659625	74.775	555	125	4	1	540	7642	5978	0	816																																												
A6RAN8_AJECN	NODE_141_80488_cov_14.851060	70.069	578	150	12	1	567	40496	38799	0	725																																												
A6RBC1_AJECN	NODE_70_117556_cov_13.971685	59.024	410	161	5	1	406	27456	26236	2.79E-155	459																																												
A6RBL1_AJECN	NODE_66_119985_cov_14.533123	79.924	264	49	2	1	264	15575	14796	3.94E-135	420																																												
A6RBY7_AJECN	NODE_377_31591_cov_12.686340	34.559	136	49	4	81	216	16762	16475	2.70E-14	71.6																																												
A6RCI7_AJECN	NODE_15_191686_cov_14.836928	73.874	111	29	0	9	119	149443	149775	1.74E-45	156																																												
A6RD56_AJECN	NODE_461_22286_cov_13.662259	67.761	335	90	1	2	318	12051	13055	2.22E-155	481																																												
A6RDX2_AJECN	NODE_44_138504_cov_15.069614	75.41	305	66	1	109	413	42877	41990	0	471																																												
A6RE02_AJECN	NODE_24_168725_cov_14.737185	37.45	753	390	20	1	708	116203	114053	6.69E-108	361																																												
A6REW8_AJECN	NODE_59_122243_cov_14.689820	65.476	168	52	3	1	162	11687	11184	4.67E-59	200																																												
A6RGA6_AJECN	NODE_130_83864_cov_14.122944	68.045	266	77	3	132	393	76123	75338	2.59E-118	322																																												
A6RGD8_AJECN	NODE_206_58876_cov_14.703331	70.513	702	201	5	61	757	43080	45182	0	1001																																												
A6RGS5_AJECN	NODE_514_15915_cov_15.081328	76.295	502	117	2	351	852	1	1500	0	793																																												
A6RGY2_AJECN	NODE_368_32152_cov_14.478002	57.787	687	184	14	1	616	16058	18013	0	721																																												
A6RH34_AJECN	NODE_169_68952_cov_15.493600	55.927	599	200	9	1	537	14077	12287	0	591																																												
A6ZIB7_MAGGR	NODE_83_109700_cov_14.776177	71.227	497	137	2	1	493	94972	96456	0	750																																												
A6ZIB8_MAGGR	NODE_498_18403_cov_13.842745	69.885	435	121	4	1	430	5795	7084	0	607																																												
A6ZKV8_YEAS7	NODE_20_180164_cov_15.436855	64.062	128	44	2	101	227	124757	124377	2.58E-67	164																																												
A6ZKX4_YEAS7	NODE_618_7841_cov_11.698341	52.416	269	123	2	110	377	3224	2430	1.08E-87	290																																												
A6ZLA2_YEAS7	NODE_49_130692_cov_14.362800	59.574	141	40	1	112	235	112381	112803	5.14E-92	182																																												
A6ZLI2_YEAS7	NODE_377_31591_cov_12.686340	52.152	395	169	6	9	383	23341	24525	2.28E-125	398																																												
A6ZLK4_YEAS7	NODE_148_78349_cov_15.870305	39.456	147	63	3	2	123	11886	12323	1.35E-21	89.4																																												
A6ZLY0_YEAS7	NODE_217_56212_cov_13.670982	71.681	226	48	1	171	380	24516	23839	2.41E-161	346																																												
A6ZM54_YEAS7	NODE_461_22286_cov_13.662259	57.616	302	128	0	10	311	12153	13058	1.83E-103	332																																												
A6ZMD8_YEAS7	NODE_61_121985_cov_14.507197	53.184	267	86	4	1	231	45288	46079	9.88E-88	283																																												
A6ZMR5_YEAS7	NODE_418_26997_cov_12.914998	37.611	226	132	5	64	288	9631	8978	1.19E-51	146																																												
A6ZMS0_YEAS7	NODE_8_216030_cov_14.945137	40	350	184	11	1	339	142021	143025	1.76E-41	156																																												
A6ZND4_YEAS7	NODE_77_112640_cov_15.584235	53.731	201	81	6	1	189	6	608	3.84E-62	209																																												
A6ZNE6_YEAS7	NODE_90_102663_cov_14.310154	44.3	307	149	10	1	295	56403	57293	1.60E-63	216																																												
A6ZNF9_YEAS7	NODE_217_56212_cov_13.670982	33.976	415	179	15	3	329	16627	17850	1.49E-52	186																																												
A6ZNQ8_YEAS7	NODE_869_850_cov_2.705394	36.216	185	96	8	219	398	2	505	5.18E-23	97.8																																												
A6ZP46_YEAS7	NODE_48_131031_cov_15.589982	63.415	164	55	1	1	159	62804	63295	6.69E-62	205																																												
A6ZPW0_YEAS7	NODE_117_89130_cov_13.866847	53.817	524	197	6	1	489	73465	75006	1.74E-176	551																																												
A6ZPY5_YEAS7	NODE_15_191686_cov_14.836928	52.778	108	49	1	1	108	149458	149775	3.12E-29	109																																												
A6ZR07_YEAS7	NODE_104_94988_cov_14.777327	53.906	256	97	3	1	236	9333	10097	8.98E-80	260																																												
A6ZR23_YEAS7	NODE_147_78368_cov_13.624966	56	825	311	7	6	781	48481	46016	0	905																																												
A6ZRC1_YEAS7	NODE_141_80488_cov_14.851060	60.133	301	120	0	1	301	40445	39543	2.34E-118	384																																												
A6ZRG8_YEAS7	NODE_184_64386_cov_15.001447	50.107	467	181	12	1	426	55940	54573	9.94E-135	427																																												
A6ZRP5_YEAS7	NODE_46_136539_cov_14.398198	37.133	851	448	22	208	998	99494	97023	3.48E-161	529																																												
A6ZSC4_YEAS7	NODE_2_339980_cov_14.749374	63.918	388	137	1	1	385	128839	127676	3.83E-168	521																																												
A6ZTD6_YEAS7	NODE_413_27425_cov_13.694153	66.332	199	66	1	52	249	20332	20928	3.20E-73	242																																												
A6ZTU6_YEAS7	NODE_88_103569_cov_14.399876	55.91	533	206	11	131	639	62669	64252	5.94E-168	532																																												
A6ZUC1_YEAS7	NODE_156_75747_cov_12.675231	50.235	426	205	3	22	443	67746	69014	6.21E-130	414																																												
A6ZUV1_YEAS7	NODE_24_168725_cov_14.737185	28.289	152	74	4	200	318	115420	114971	1.25E-09	61.2																																												
A6ZUW0_YEAS7	NODE_133_82891_cov_15.276799	87.5	32	4	0	1	32	17280	17185	9.51E-12	67.8																																												
A6ZUW8_YEAS7	NODE_193_61615_cov_17.659625	60.147	680	231	6	1	641	8014	5978	0	832																																												
A6ZVS7_YEAS7	NODE_46_136539_cov_14.398198	40.992	383	187	8	1	349	104755	105888	1.22E-84	279																																												
A6ZWF3_YEAS7	NODE_30_159743_cov_14.519641	42.857	126	51	3	161	266	24558	24932	4.59E-40	112																																												
A6ZWJ8_YEAS7	NODE_157_75655_cov_15.424637	59.259	297	113	4	36	327	7063	7944	2.16E-105	338																																												
A6ZWK4_YEAS7	NODE_169_68952_cov_15.493600	34.335	632	317	12	3	578	14020	12251	3.99E-78	271																																												
A6ZWL9_YEAS7	NODE_453_23233_cov_13.944820	63.018	338	123	2	2	338	9334	8324	2.21E-136	427																																												
A6ZX34_YEAS7	NODE_326_38862_cov_17.047373	55.392	408	169	6	235	635	2463	3668	2.10E-145	468																																												
A6ZX43_YEAS7	NODE_330_38203_cov_13.781069	62.312	199	69	4	1	197	23026	22442	5.46E-78	253																																												
A6ZX50_YEAS7	NODE_234_53533_cov_14.336704	30.459	719	354	19	1	605	36265	38325	9.30E-77	267																																												
A6ZXC8_YEAS7	NODE_38_146689_cov_14.597099	44.49	245	130	3	26	265	120492	121223	7.20E-51	179																																												
A6ZXD7_YEAS7	NODE_35_150279_cov_14.508738	38.462	117	71	1	1095	1211	128177	127830	1.20E-18	92.8																																												
A6ZXP0_YEAS7	NODE_41_143367_cov_14.501620	37.43	179	112	0	1	179	127165	126629	2.75E-34	128																																												
A6ZXS0_YEAS7	NODE_464_22029_cov_14.042781	68.127	251	77	1	3	250	13800	14552	5.96E-116	357																																												
A6ZYE8_YEAS7	NODE_368_32152_cov_14.478002	36.267	659	334	17	6	597	16085	18004	1.78E-117	385																																												
A6ZYG7_YEAS7	NODE_61_121985_cov_14.507197	35.238	420	245	9	1	416	44021	42831	2.92E-71	252																																												
A6ZYI7_YEAS7	NODE_376_31692_cov_14.812482	54.208	701	249	9	1	633	17877	15787	0	698																																												
A6ZYV3_YEAS7	NODE_66_119985_cov_14.533123	66.792	265	82	3	1	259	15680	14886	1.37E-114	361																																												
A6ZYW4_YEAS7	NODE_226_55105_cov_14.202536	44.839	310	141	6	82	363	52684	53607	1.04E-54	200																																												
A6ZZ72_YEAS7	NODE_121_88035_cov_15.589787	48.511	235	111	3	42	266	85840	85136	3.68E-97	239																																												
A6ZZE5_YEAS7	NODE_65_120022_cov_14.468176	65.517	145	50	0	2	146	39138	39572	6.79E-61	212																																												
A6ZZL3_YEAS7	NODE_199_59878_cov_14.302054	60.906	596	204	6	2	580	5303	7054	0	678																																												
A6ZZW2_YEAS7	NODE_459_22408_cov_12.085005	51.37	292	123	2	2	275	18954	19826	1.69E-89	293																																												
A7A0Q7_YEAS7	NODE_338_36792_cov_13.976217	34.712	556	321	14	71	587	20649	18991	6.12E-81	278																																												
A7A185_YEAS7	NODE_70_117556_cov_13.971685	45.714	350	177	6	5	351	27198	26179	1.21E-92	304																																												
A7A1H6_YEAS7	NODE_83_109700_cov_14.776177	64.286	168	20	3	1	128	80443	79940	1.76E-61	204																																												
A7A1M1_YEAS7	NODE_371_31933_cov_13.923442	67.328	1714	529	11	23	1716	1029	6137	0	2362																																												
A7A201_YEAS7	NODE_524_14745_cov_16.881105	77.632	76	17	0	2	77	13053	12826	3.93E-42	127																																												
A7A222_YEAS7	NODE_316_39867_cov_13.804882	53.191	94	43	1	2	95	14147	13869	9.84E-24	93.6																																												
A7A233_YEAS7	NODE_482_19951_cov_13.876261	83.333	48	8	0	1	48	3084	3227	7.45E-37	93.2																																												
A7A2C1_YEAS7	NODE_359_33047_cov_14.312728	55.692	325	127	5	1	309	14513	13542	1.32E-114	365																																												
A7BHG9_ERYGR	NODE_514_15915_cov_15.081328	72.138	463	127	2	163	625	1	1383	0	657																																												
A7BHH0_BLUGR	NODE_514_15915_cov_15.081328	66.12	183	62	0	1	183	796	1344	1.04E-81	263																																												
A7BHH1_BLUGR	NODE_514_15915_cov_15.081328	63.095	168	53	2	1	168	979	1455	1.51E-67	222																																												
A7BHH2_BLUGR	NODE_514_15915_cov_15.081328	66.484	182	61	0	1	182	796	1341	3.69E-81	261																																												
A7BHH3_BLUGR	NODE_514_15915_cov_15.081328	65.934	182	62	0	1	182	796	1341	5.71E-80	258																																												
A7BHH4_BLUGR	NODE_514_15915_cov_15.081328	62.048	166	54	2	1	166	991	1461	5.70E-65	214																																												
A7BHH5_BLUGR	NODE_514_15915_cov_15.081328	63.584	173	54	2	1	173	970	1461	6.79E-70	229																																												
