q seq id	s seq id	percent id	length	mismatch	gap open	q start	q end	s start	s end	e-value	bit score 
g10024	lcl|NW_015622827.1_prot_XP_016258580.1_10323	100	379	0	0	1	379	90	468	0	777
g10026	lcl|NW_015622827.1_prot_XP_016258581.1_10324	100	437	0	0	340	776	1	437	0	896
g10027	lcl|NW_015622827.1_prot_XP_016258582.1_10325	100	398	0	0	1	398	79	476	0	806
g10028	lcl|NW_015622827.1_prot_XP_016258583.1_10326	100	393	0	0	1	393	79	471	0	806
g10029	lcl|NW_015622827.1_prot_XP_016258584.1_10327	99.8	501	0	1	1	501	79	578	0	1031
g1003	lcl|NW_015622819.1_prot_XP_016266967.1_2620	100	218	0	0	1	218	79	296	9.62E-163	449
g10030	lcl|NW_015622827.1_prot_XP_016258585.1_10328	100	246	0	0	1	246	79	324	0	501
g10031	lcl|NW_015622827.1_prot_XP_016258586.1_10329	100	455	0	0	1	455	97	551	0	948
g10033	lcl|NW_015622825.1_prot_XP_016259882.1_9124	100	416	0	0	1	416	79	494	0	868
g10034	lcl|NW_015622837.1_prot_XP_016256841.1_12315	22.807	228	149	7	5	210	65	287	3.90E-09	55.8
g10035	lcl|NW_015622825.1_prot_XP_016259883.1_9125	100	253	0	0	1	253	270	522	0	526
g10036	lcl|NW_015622825.1_prot_XP_016259884.1_9126	100	159	0	0	1	159	79	237	6.06E-117	329
g10037	lcl|NW_015622818.1_prot_XP_016267772.1_269	25.466	161	100	5	11	166	179	324	3.79E-08	53.1
g10038	lcl|NW_015622825.1_prot_XP_016259885.1_9127	95.671	231	0	1	1	221	197	427	1.05E-158	444
g10039	lcl|NW_015622825.1_prot_XP_016259886.1_9128	100	17	0	0	1	17	572	588	2.28E-07	42
g10040	lcl|NW_015622828.1_prot_XP_016258166.1_10962	98.639	294	0	1	1	294	87	376	0	575
g10041	lcl|NW_015622828.1_prot_XP_016258167.1_10963	100	496	0	0	1	496	79	574	0	1037
g10042	lcl|NW_015622828.1_prot_XP_016258168.1_10964	100	224	0	0	1	224	79	302	8.36E-169	465
g10043	lcl|NW_015622828.1_prot_XP_016258169.1_10965	100	559	0	0	263	821	1	559	0	1155
g10044	lcl|NW_015622828.1_prot_XP_016258171.1_10967	100	390	0	0	1	390	79	468	0	783
g10045	lcl|NW_015622828.1_prot_XP_016258172.1_10968	100	205	0	0	1	205	79	283	4.92E-152	421
g10046	lcl|NW_015622828.1_prot_XP_016258173.1_10969	100	420	0	0	1	420	79	498	0	862
g10047	lcl|NW_015622828.1_prot_XP_016258174.1_10970	100	495	0	0	1	495	79	573	0	1025
g10048	lcl|NW_015622828.1_prot_XP_016258175.1_10971	100	228	0	0	1	228	79	306	2.15E-171	472
g10049	lcl|NW_015622828.1_prot_XP_016258176.1_10972	100	464	0	0	1	464	24	487	0	955
g1005	lcl|NW_015622819.1_prot_XP_016266966.1_2619	82.353	170	1	1	1	170	459	599	4.21E-93	281
g10050	lcl|NW_015622828.1_prot_XP_016258177.1_10973	100	730	0	0	1	730	79	808	0	1486
g10051	lcl|NW_015622828.1_prot_XP_016258178.1_10974	100	686	0	0	1	686	79	764	0	1404
g10052	lcl|NW_015622828.1_prot_XP_016258179.1_10975	100	260	0	0	1	260	79	338	0	537
g10054	lcl|NW_015622822.1_prot_XP_016262205.1_6151	100	363	0	0	1	363	79	441	0	767
g10055	lcl|NW_015622822.1_prot_XP_016262204.1_6150	100	943	0	0	1	943	79	1021	0	1935
g10056	lcl|NW_015622822.1_prot_XP_016262203.1_6149	100	477	0	0	1	477	79	555	0	997
g10057	lcl|NW_015622822.1_prot_XP_016262200.1_6146	98.131	535	4	2	1	534	122	651	0	1080
g10058	lcl|NW_015622822.1_prot_XP_016262199.1_6145	100	144	0	0	1	144	79	222	5.06E-103	292
g10059	lcl|NW_015622826.1_prot_XP_016259368.1_9896	42.083	480	274	2	1	476	117	596	7.62E-135	402
g1006	lcl|NW_015622819.1_prot_XP_016266965.1_2618	100	68	0	0	1	68	79	146	7.18E-37	119
g10060	lcl|NW_015622822.1_prot_XP_016262197.1_6143	100	516	0	0	1	516	79	594	0	1077
g10061	lcl|NW_015622822.1_prot_XP_016262196.1_6142	99.528	212	1	0	1	212	79	290	5.74E-157	434
g10062	lcl|NW_015622822.1_prot_XP_016262195.1_6141	99.32	1029	1	1	1	1023	91	1119	0	2107
g10063	lcl|NW_015622822.1_prot_XP_016262194.1_6140	100	486	0	0	1	486	110	595	0	1016
g10064	lcl|NW_015622822.1_prot_XP_016262193.1_6139	100	389	0	0	1	389	79	467	0	806
g10065	lcl|NW_015622823.1_prot_XP_016261114.1_7184	59.857	421	166	2	3	423	24	441	0	549
g10066	lcl|NW_015622822.1_prot_XP_016262191.1_6137	99.385	650	3	1	1	649	134	783	0	1345
g10067	lcl|NW_015622818.1_prot_XP_016268146.1_643	100	175	0	0	1	175	79	253	4.03E-121	341
g10068	lcl|NW_015622818.1_prot_XP_016268147.1_644	100	538	0	0	1	538	79	616	0	1121
g10069	lcl|NW_015622818.1_prot_XP_016268148.1_645	100	85	0	0	1	85	79	163	1.71E-60	180
g10070	lcl|NW_015622818.1_prot_XP_016268149.1_646	100	230	0	0	1	230	79	308	2.06E-176	485
g10071	lcl|NW_015622818.1_prot_XP_016268150.1_648	100	552	0	0	1	552	79	630	0	1122
g10072	lcl|NW_015622818.1_prot_XP_016268152.1_649	100	529	0	0	36	564	1	529	0	1101
g10073	lcl|NW_015622818.1_prot_XP_016268153.1_650	100	294	0	0	1	294	71	364	0	607
g10074	lcl|NW_015622818.1_prot_XP_016268154.1_651	100	324	0	0	1	324	79	402	0	669
g10075	lcl|NW_015622818.1_prot_XP_016268155.1_652	100	387	0	0	1	387	79	465	0	788
g10076	lcl|NW_015622818.1_prot_XP_016268156.1_653	100	1014	0	0	1	1014	79	1092	0	2078
g10077	lcl|NW_015622818.1_prot_XP_016268157.1_654	89.501	381	1	1	1	342	159	539	0	611
g10078	lcl|NW_015622818.1_prot_XP_016268158.1_655	94.699	830	6	2	1	792	79	908	0	1551
g10080	lcl|NW_015622828.1_prot_XP_016257976.1_10771	100	64	0	0	1	64	836	899	8.83E-38	130
g10081	lcl|NW_015622828.1_prot_XP_016257975.1_10772	100	541	0	0	1	541	79	619	0	1119
g10082	lcl|NW_015622828.1_prot_XP_016257978.1_10774	99.692	325	1	0	40	364	24	348	0	666
g10083	lcl|NW_015622828.1_prot_XP_016257979.1_10775	100	523	0	0	1	523	79	601	0	1051
g10084	lcl|NW_015622828.1_prot_XP_016257980.1_10776	100	509	0	0	1	509	79	587	0	1042
g10085	lcl|NW_015622828.1_prot_XP_016257981.1_10777	100	255	0	0	1	255	79	333	0	513
g10086	lcl|NW_015622828.1_prot_XP_016257982.1_10778	100	669	0	0	1	669	79	747	0	1379
g10087	lcl|NW_015622828.1_prot_XP_016257983.1_10779	99.315	146	1	0	6	151	38	183	4.94E-106	299
g10088	lcl|NW_015622828.1_prot_XP_016257984.1_10780	100	317	0	0	1	317	79	395	0	659
g10089	lcl|NW_015622819.1_prot_XP_016266969.1_2622	32.414	435	265	7	1	412	97	525	2.75E-57	196
g1009	lcl|NW_015622819.1_prot_XP_016266963.1_2616	100	176	0	0	1	176	79	254	3.71E-131	366
g10090	lcl|NW_015622828.1_prot_XP_016257985.1_10781	100	246	0	0	1	246	79	324	0	502
g10091	lcl|NW_015622828.1_prot_XP_016257988.1_10784	100	972	0	0	314	1285	20	991	0	2008
g10092	lcl|NW_015622828.1_prot_XP_016257989.1_10785	98.158	1466	1	1	1	1440	79	1544	0	2979
g10093	lcl|NW_015622828.1_prot_XP_016257991.1_10787	100	285	0	0	1	285	1946	2230	0	571
g10094	lcl|NW_015622819.1_prot_XP_016266798.1_2451	100	255	0	0	1	255	79	333	0	538
g10095	lcl|NW_015622819.1_prot_XP_016266797.1_2450	100	453	0	0	535	987	1	453	0	929
g10096	lcl|NW_015622819.1_prot_XP_016266795.1_2448	98.28	407	7	0	1	407	79	485	0	832
g10097	lcl|NW_015622819.1_prot_XP_016266793.1_2446	100	225	0	0	1	225	79	303	6.36E-171	471
g10098	lcl|NW_015622819.1_prot_XP_016266792.1_2445	99.776	446	1	0	1	446	79	524	0	906
g10099	lcl|NW_015622819.1_prot_XP_016266791.1_2444	100	179	0	0	1	179	79	257	2.26E-132	370
g101	lcl|NW_015622830.1_prot_XP_016257547.1_11477	100	777	0	0	1	777	79	855	0	1619
g1010	lcl|NW_015622823.1_prot_XP_016261488.1_7558	43.396	212	120	0	3	214	93	304	4.99E-56	179
g10100	lcl|NW_015622819.1_prot_XP_016266790.1_2443	100	681	0	0	1	681	72	752	0	1403
g10101	lcl|NW_015622819.1_prot_XP_016266789.1_2442	100	516	0	0	1	516	79	594	0	1053
g10102	lcl|NW_015622819.1_prot_XP_016266788.1_2441	100	377	0	0	1	377	79	455	0	784
g10103	lcl|NW_015622819.1_prot_XP_016266787.1_2440	100	516	0	0	58	573	47	562	0	1071
g10104	lcl|NW_015622819.1_prot_XP_016266786.1_2439	100	198	0	0	1	198	79	276	1.64E-147	409
g10105	lcl|NW_015622819.1_prot_XP_016266785.1_2438	100	58	0	0	1	58	79	136	2.08E-37	119
g10106	lcl|NW_015622820.1_prot_XP_016265568.1_4113	100	25	0	0	1	25	79	103	1.20E-11	52
g10108	lcl|NW_015622819.1_prot_XP_016266783.1_2436	96.243	346	0	1	1	333	79	424	0	687
g10109	lcl|NW_015622819.1_prot_XP_016266780.1_2434	100	479	0	0	1	479	79	557	0	993
g1011	lcl|NW_015622818.1_prot_XP_016267948.1_445	36.797	231	128	5	3	226	79	298	2.67E-40	139
g10110	lcl|NW_015622821.1_prot_XP_016264200.1_5544	100	59	0	0	1	59	702	760	9.88E-34	119
g10111	lcl|NW_015622821.1_prot_XP_016264199.1_5543	100	613	0	0	1	613	79	691	0	1278
g10112	lcl|NW_015622821.1_prot_XP_016264198.1_5542	99.962	2601	1	0	1	2601	38	2638	0	5381
g10113	lcl|NW_015622821.1_prot_XP_016264196.1_5540	100	690	0	0	1	690	79	768	0	1437
g10114	lcl|NW_015622821.1_prot_XP_016264193.1_5537	100	488	0	0	258	745	1	488	0	994
g10115	lcl|NW_015622821.1_prot_XP_016264192.1_5536	100	629	0	0	1	629	79	707	0	1300
g10116	lcl|NW_015622821.1_prot_XP_016264190.1_5534	100	447	0	0	1	447	79	525	0	939
g10117	lcl|NW_015622821.1_prot_XP_016264189.1_5533	100	145	0	0	1	145	56	200	5.52E-106	299
g10118	lcl|NW_015622821.1_prot_XP_016264188.1_5532	100	1351	0	0	1	1351	79	1429	0	2823
g10119	lcl|NW_015622821.1_prot_XP_016264389.1_5733	100	162	0	0	1	162	284	445	4.20E-109	317
g1012	lcl|NW_015622826.1_prot_XP_016259090.1_9618	33.929	448	277	9	1	437	77	516	1.85E-82	262
g10120	lcl|NW_015622821.1_prot_XP_016264388.1_5732	100	216	0	0	1	216	79	294	1.20E-158	439
g10121	lcl|NW_015622821.1_prot_XP_016264387.1_5731	100	64	0	0	6	69	95	158	1.60E-35	117
g10122	lcl|NW_015622821.1_prot_XP_016264386.1_5730	100	370	0	0	1	370	79	448	0	755
g10123	lcl|NW_015622821.1_prot_XP_016264385.1_5729	100	577	0	0	1	577	79	655	0	1190
g10124	lcl|NW_015622821.1_prot_XP_016264384.1_5728	100	757	0	0	1	757	79	835	0	1580
g10125	lcl|NW_015622821.1_prot_XP_016264383.1_5727	100	347	0	0	1	347	79	425	0	722
g10126	lcl|NW_015622821.1_prot_XP_016264381.1_5726	100	575	0	0	1	575	79	653	0	1205
g10127	lcl|NW_015622821.1_prot_XP_016264382.1_5725	100	232	0	0	1	232	79	310	7.67E-175	481
g10129	lcl|NW_015622821.1_prot_XP_016264380.1_5724	99.857	697	1	0	1	697	79	775	0	1415
g1013	lcl|NW_015622823.1_prot_XP_016261216.1_7286	58.194	299	110	4	1	298	81	365	3.51E-121	352
g10130	lcl|NW_015622821.1_prot_XP_016264379.1_5723	100	268	0	0	1	268	79	346	0	558
g10131	lcl|NW_015622821.1_prot_XP_016264377.1_5721	100	434	0	0	1	434	79	512	0	903
g10132	lcl|NW_015622821.1_prot_XP_016264376.1_5720	100	195	0	0	1	195	79	273	1.76E-146	407
g10133	lcl|NW_015622821.1_prot_XP_016264375.1_5719	100	377	0	0	1	377	79	455	0	805
g10134	lcl|NW_015622820.1_prot_XP_016264937.1_3482	100	414	0	0	1	414	79	492	0	857
g10135	lcl|NW_015622820.1_prot_XP_016264936.1_3481	100	167	0	0	1	167	79	245	9.23E-119	334
g10136	lcl|NW_015622820.1_prot_XP_016264935.1_3480	100	258	0	0	1	258	79	336	0	518
g10137	lcl|NW_015622820.1_prot_XP_016264934.1_3479	100	214	0	0	1	214	79	292	3.95E-154	427
g10138	lcl|NW_015622820.1_prot_XP_016264933.1_3478	100	155	0	0	1	155	79	233	8.14E-111	313
g10139	lcl|NW_015622820.1_prot_XP_016264930.1_3475	100	631	0	0	1145	1775	1	631	0	1312
g1014	lcl|NW_015622819.1_prot_XP_016266960.1_2613	93.674	411	1	1	1	386	79	489	0	785
g10140	lcl|NW_015622820.1_prot_XP_016264929.1_3474	100	1448	0	0	1	1448	79	1526	0	2990
g10141	lcl|NW_015622820.1_prot_XP_016264928.1_3473	100	397	0	0	1	397	79	475	0	837
g10142	lcl|NW_015622820.1_prot_XP_016264927.1_3472	100	295	0	0	1	295	78	372	0	617
g10143	lcl|NW_015622820.1_prot_XP_016264926.1_3471	100	451	0	0	1	451	79	529	0	940
g10144	lcl|NW_015622820.1_prot_XP_016264925.1_3470	100	344	0	0	1	344	77	420	0	709
g10145	lcl|NW_015622820.1_prot_XP_016264924.1_3469	100	979	0	0	1	979	79	1057	0	2009
g10146	lcl|NW_015622820.1_prot_XP_016264952.1_3497	100	519	0	0	1	519	79	597	0	1088
g10147	lcl|NW_015622820.1_prot_XP_016264951.1_3496	100	160	0	0	1	160	79	238	3.81E-115	324
g10148	lcl|NW_015622820.1_prot_XP_016264950.1_3495	100	452	0	0	1	452	94	545	0	926
g10149	lcl|NW_015622820.1_prot_XP_016264949.1_3494	100	496	0	0	100	595	1	496	0	1016
g1015	lcl|NW_015622819.1_prot_XP_016266959.1_2612	100	244	0	0	1	244	79	322	5.24E-178	490
g10150	lcl|NW_015622820.1_prot_XP_016264948.1_3493	100	489	0	0	1	489	79	567	0	989
g10151	lcl|NW_015622820.1_prot_XP_016264947.1_3492	100	90	0	0	1	90	155	244	3.06E-60	182
g10152	lcl|NW_015622820.1_prot_XP_016264945.1_3491	99.346	153	1	0	1	153	79	231	1.29E-104	298
g10153	lcl|NW_015622820.1_prot_XP_016264944.1_3489	100	607	0	0	1	607	79	685	0	1239
g10154	lcl|NW_015622820.1_prot_XP_016264943.1_3488	100	110	0	0	1	110	79	188	4.61E-80	231
g10155	lcl|NW_015622820.1_prot_XP_016264942.1_3487	100	504	0	0	1	504	79	582	0	1038
g10156	lcl|NW_015622820.1_prot_XP_016264941.1_3486	100	381	0	0	1	381	79	459	0	764
g10157	lcl|NW_015622820.1_prot_XP_016264940.1_3485	100	55	0	0	1	55	79	133	7.26E-35	113
g10158	lcl|NW_015622820.1_prot_XP_016264939.1_3484	93.994	333	0	1	1	313	105	437	0	624
g10159	lcl|NW_015622828.1_prot_XP_016257972.1_10768	100	693	0	0	1	693	50	742	0	1425
g1016	lcl|NW_015622819.1_prot_XP_016266958.1_2611	100	306	0	0	1	306	79	384	0	641
g10160	lcl|NW_015622828.1_prot_XP_016257970.1_10766	100	267	0	0	1	267	79	345	0	539
g10161	lcl|NW_015622828.1_prot_XP_016257968.1_10764	100	1725	0	0	208	1932	9	1733	0	3518
g10162	lcl|NW_015622828.1_prot_XP_016257967.1_10763	100	244	0	0	1	244	79	322	0	502
g10163	lcl|NW_015622828.1_prot_XP_016257964.1_10760	98.5	1067	0	1	144	1210	1	1051	0	2120
g10164	lcl|NW_015622828.1_prot_XP_016257962.1_10758	100	189	0	0	1	189	79	267	1.81E-136	381
g10165	lcl|NW_015622828.1_prot_XP_016257960.1_10756	100	289	0	0	1	289	79	367	0	599
g10166	lcl|NW_015622828.1_prot_XP_016257959.1_10755	100	490	0	0	1	490	136	625	0	1023
g10168	lcl|NW_015622828.1_prot_XP_016257958.1_10754	100	477	0	0	1	477	79	555	0	1003
g10169	lcl|NW_015622821.1_prot_XP_016264277.1_5621	100	246	0	0	39	284	9	254	0	502
g1017	lcl|NW_015622819.1_prot_XP_016266957.1_2610	100	405	0	0	1	405	79	483	0	835
g10170	lcl|NW_015622821.1_prot_XP_016264278.1_5622	100	517	0	0	1	517	79	595	0	1066
g10171	lcl|NW_015622821.1_prot_XP_016264279.1_5623	100	517	0	0	1	517	79	595	0	1073
g10172	lcl|NW_015622821.1_prot_XP_016264280.1_5624	100	437	0	0	1	437	79	515	0	884
g10173	lcl|NW_015622821.1_prot_XP_016264281.1_5625	100	125	0	0	1	125	79	203	2.98E-91	261
g10174	lcl|NW_015622832.1_prot_XP_016257394.1_11931	42.975	121	62	2	1	119	146	261	3.60E-28	103
g10175	lcl|NW_015622821.1_prot_XP_016264282.1_5626	92.135	267	1	1	429	695	4	250	2.91E-179	509
g10176	lcl|NW_015622821.1_prot_XP_016264284.1_5628	65.854	82	0	1	1	82	79	132	4.68E-29	99.8
g10177	lcl|NW_015622821.1_prot_XP_016264285.1_5629	100	203	0	0	1	203	79	281	1.21E-151	420
g10178	lcl|NW_015622821.1_prot_XP_016264286.1_5630	100	756	0	0	1	756	79	834	0	1536
g10179	lcl|NW_015622821.1_prot_XP_016264287.1_5631	100	315	0	0	1	315	79	393	0	648
g1018	lcl|NW_015622819.1_prot_XP_016266956.1_2609	100	256	0	0	1	256	79	334	0	531
g10180	lcl|NW_015622821.1_prot_XP_016264288.1_5632	100	324	0	0	1	324	79	402	0	664
g10181	lcl|NW_015622821.1_prot_XP_016264289.1_5633	99.854	685	1	0	54	738	1	685	0	1440
g10182	lcl|NW_015622822.1_prot_XP_016262046.1_5992	32.069	290	180	9	1	282	60	340	1.47E-38	137
g10183	lcl|NW_015622821.1_prot_XP_016264290.1_5634	100	571	0	0	1	571	79	649	0	1192
g10184	lcl|NW_015622821.1_prot_XP_016264291.1_5635	100	209	0	0	1	209	178	386	3.41E-153	429
g10185	lcl|NW_015622820.1_prot_XP_016264990.1_3535	100	400	0	0	1	400	153	552	0	823
g10186	lcl|NW_015622820.1_prot_XP_016264989.1_3534	100	526	0	0	1	526	79	604	0	1088
g10187	lcl|NW_015622822.1_prot_XP_016262267.1_6213	38.356	219	110	4	1	214	80	278	4.48E-41	141
g10188	lcl|NW_015622821.1_prot_XP_016263506.1_4850	50.751	666	305	9	21	665	107	770	0	665
g10189	lcl|NW_015622820.1_prot_XP_016264988.1_3533	99.002	601	6	0	455	1055	60	660	0	1234
g1019	lcl|NW_015622819.1_prot_XP_016266955.1_2608	100	759	0	0	1	759	79	837	0	1543
g10190	lcl|NW_015622818.1_prot_XP_016268936.1_1433	35.468	406	250	7	1	398	86	487	2.86E-74	239
g10191	lcl|NW_015622820.1_prot_XP_016264987.1_3532	99.297	569	0	1	1	565	24	592	0	1165
g10192	lcl|NW_015622820.1_prot_XP_016265973.1_4518	47.727	528	247	6	1	525	85	586	1.07E-177	513
g10193	lcl|NW_015622820.1_prot_XP_016264986.1_3531	100	466	0	0	1	466	79	544	0	961
g10194	lcl|NW_015622824.1_prot_XP_016260837.1_8633	37.416	449	268	7	3	446	84	524	6.01E-102	314
g10195	lcl|NW_015622820.1_prot_XP_016264985.1_3530	100	178	0	0	1	178	79	256	2.61E-131	367
g10196	lcl|NW_015622820.1_prot_XP_016264984.1_3529	100	498	0	0	1	498	79	576	0	1029
g10197	lcl|NW_015622819.1_prot_XP_016266403.1_2056	63.068	528	190	4	2	526	100	625	0	706
g10198	lcl|NW_015622818.1_prot_XP_016268551.1_1048	100	448	0	0	1	448	79	526	0	921
g10199	lcl|NW_015622818.1_prot_XP_016268552.1_1049	100	526	0	0	1	526	79	604	0	1072
g102	lcl|NW_015622830.1_prot_XP_016257546.1_11476	100	20	0	0	1	20	79	98	8.26E-07	39.3
g1020	lcl|NW_015622819.1_prot_XP_016266954.1_2607	100	384	0	0	1	384	79	462	0	771
g10200	lcl|NW_015622818.1_prot_XP_016268553.1_1050	95.026	382	0	1	1	382	79	441	0	734
g10201	lcl|NW_015622818.1_prot_XP_016268554.1_1051	100	291	0	0	1	291	79	369	0	607
g10202	lcl|NW_015622818.1_prot_XP_016268555.1_1052	100	237	0	0	1	237	79	315	9.99E-175	481
g10203	lcl|NW_015622818.1_prot_XP_016268556.1_1053	100	505	0	0	1	505	92	596	0	1023
g10204	lcl|NW_015622818.1_prot_XP_016268558.1_1055	100	592	0	0	1	592	79	670	0	1219
g10205	lcl|NW_015622818.1_prot_XP_016268559.1_1056	99.548	442	2	0	8	449	2	443	0	909
g10206	lcl|NW_015622818.1_prot_XP_016268560.1_1057	100	437	0	0	1	437	79	515	0	900
g10207	lcl|NW_015622821.1_prot_XP_016264566.1_5910	59.465	486	187	5	9	485	75	559	0	575
g10208	lcl|NW_015622818.1_prot_XP_016268565.1_1062	100	197	0	0	1	197	79	275	8.10E-149	416
g10209	lcl|NW_015622818.1_prot_XP_016268566.1_1063	100	429	0	0	1	429	79	507	0	887
g1021	lcl|NW_015622819.1_prot_XP_016266953.1_2606	100	357	0	0	1	357	79	435	0	743
g10210	lcl|NW_015622819.1_prot_XP_016266382.1_2035	100	190	0	0	1	190	76	265	1.19E-140	391
g10211	lcl|NW_015622820.1_prot_XP_016265194.1_3739	64.384	438	144	2	2	427	73	510	0	589
g10212	lcl|NW_015622819.1_prot_XP_016266383.1_2036	100	347	0	0	1	347	79	425	0	724
g10213	lcl|NW_015622829.1_prot_XP_016257819.1_11328	31.72	186	115	6	22	204	89	265	4.91E-13	65.9
g10214	lcl|NW_015622819.1_prot_XP_016266384.1_2037	99.842	633	1	0	1	633	79	711	0	1291
g10215	lcl|NW_015622819.1_prot_XP_016266385.1_2038	100	42	0	0	1	42	79	120	1.24E-21	78.6
g10216	lcl|NW_015622819.1_prot_XP_016266387.1_2040	100	567	0	0	1	567	79	645	0	1151
g10217	lcl|NW_015622819.1_prot_XP_016266388.1_2041	100	488	0	0	74	561	69	556	0	1017
g10218	lcl|NW_015622819.1_prot_XP_016266389.1_2042	100	371	0	0	35	405	1	371	0	758
g10219	lcl|NW_015622819.1_prot_XP_016266390.1_2043	100	429	0	0	1	429	61	489	0	880
g1022	lcl|NW_015622819.1_prot_XP_016266951.1_2605	100	316	0	0	1	316	79	394	0	657
g10220	lcl|NW_015622819.1_prot_XP_016266391.1_2044	100	80	0	0	1	80	79	158	4.14E-55	166
g10221	lcl|NW_015622818.1_prot_XP_016269135.1_1632	25.352	142	83	5	3	137	85	210	2.24E-05	41.6
g10222	lcl|NW_015622819.1_prot_XP_016266392.1_2045	98.074	571	6	1	1	571	110	675	0	1157
g10223	lcl|NW_015622819.1_prot_XP_016266393.1_2046	100	124	0	0	1	124	293	416	1.04E-86	257
g10224	lcl|NW_015622818.1_prot_XP_016268714.1_1211	30.405	296	156	9	2	283	85	344	2.17E-35	129
g10225	lcl|NW_015622818.1_prot_XP_016268802.1_1299	100	195	0	0	1	195	79	273	4.66E-146	405
g10226	lcl|NW_015622818.1_prot_XP_016268803.1_1300	100	41	0	0	1	41	79	119	4.72E-23	82.4
g10227	lcl|NW_015622818.1_prot_XP_016268804.1_1301	100	794	0	0	310	1103	9	802	0	1656
g10228	lcl|NW_015622818.1_prot_XP_016268806.1_1303	100	770	0	0	1	770	79	848	0	1546
g10229	lcl|NW_015622818.1_prot_XP_016268807.1_1304	99.859	709	0	1	1	708	79	787	0	1478
g1023	lcl|NW_015622819.1_prot_XP_016266952.1_2604	100	70	0	0	1	70	79	148	2.28E-48	148
g10230	lcl|NW_015622818.1_prot_XP_016268808.1_1305	100	398	0	0	1	398	79	476	0	806
g10231	lcl|NW_015622818.1_prot_XP_016268809.1_1306	100	614	0	0	1	614	79	692	0	1275
g10232	lcl|NW_015622818.1_prot_XP_016268810.1_1307	100	207	0	0	1	207	79	285	1.20E-146	408
g10233	lcl|NW_015622818.1_prot_XP_016268811.1_1308	100	438	0	0	1	438	79	516	0	872
g10234	lcl|NW_015622826.1_prot_XP_016259463.1_9991	100	112	0	0	1	112	79	190	1.77E-75	235
g10235	lcl|NW_015622824.1_prot_XP_016260837.1_8633	68.071	451	143	1	1	450	79	529	0	660
